instance,alg,candName,targName,conf,realConf,order
Excel2CIDX,exactMatch,PurchaseOrder,PO,1,1,1
Excel2CIDX,exactMatch,PurchaseOrder,PO.POHeader,0,0,66
Excel2CIDX,exactMatch,PurchaseOrder,PO.POHeader.poDate,0,0,67
Excel2CIDX,exactMatch,PurchaseOrder,PO.POHeader.poNumber,0,0,68
Excel2CIDX,exactMatch,PurchaseOrder,PO.Contact,0,0,69
Excel2CIDX,exactMatch,PurchaseOrder,PO.Contact.contactName,0,0,70
Excel2CIDX,exactMatch,PurchaseOrder,PO.Contact.contactFunctionCode,0,0,71
Excel2CIDX,exactMatch,PurchaseOrder,PO.Contact.contactEmail,0,0,72
Excel2CIDX,exactMatch,PurchaseOrder,PO.Contact.contactPhone,0,0,73
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo,0,0,74
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo.city,0,0,75
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo.attn,0,0,76
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo.country,0,0,77
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo.stateProvince,0,0,78
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo.street1,0,0,79
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo.street2,0,0,80
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo.street3,0,0,81
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo.street4,0,0,82
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo.postalCode,0,0,83
Excel2CIDX,exactMatch,PurchaseOrder,PO.POShipTo.entityidentifider,0,0,84
Excel2CIDX,exactMatch,PurchaseOrder,PO.POBillTo,0,0,85
Excel2CIDX,exactMatch,PurchaseOrder,PO.POBillTo.city,0,0,86
Excel2CIDX,exactMatch,PurchaseOrder,PO.POBillTo.attn,0,0,87
Excel2CIDX,exactMatch,PurchaseOrder,PO.POBillTo.country,0,0,88
Excel2CIDX,exactMatch,PurchaseOrder,PO.POBillTo.stateProvince,0,0,89
Excel2CIDX,exactMatch,PurchaseOrder,PO.POBillTo.street1,0,0,90
Excel2CIDX,exactMatch,PurchaseOrder,PO.POBillTo.street2,0,0,91
