candName,targName,Ontobuilder Term Match,AMC Token Path,WordNet Jiang Conrath,ADnEV
PurchaseOrder,PO,0.148269231,0.184615389,0,0.21096154
PurchaseOrder,PO.POHeader,0.271485043,0.338461518,0.06528526,0.225077274
PurchaseOrder,PO.POHeader.poDate,0.137852564,0.340000004,0.065154344,0.181002304
PurchaseOrder,PO.POHeader.poNumber,0.20883547,0.337435871,0.0726548,0.206308714
PurchaseOrder,PO.Contact,0.133150183,0.174175829,0.085258355,0.130861456
PurchaseOrder,PO.Contact.contactName,0.13029304,0.208571434,0.085258355,0.141374276
PurchaseOrder,PO.Contact.contactFunctionCode,0.185317215,0.273809522,0.085258355,0.181461697
PurchaseOrder,PO.Contact.contactEmail,0.126126374,0.16434066,0.085258355,0.125241796
PurchaseOrder,PO.Contact.contactPhone,0.151209707,0.258571446,0.085258355,0.165013169
PurchaseOrder,PO.POShipTo,0.131185897,0.17576924,0.102033214,0.13632945
PurchaseOrder,PO.POShipTo.city,0.122435897,0.16730769,0.070885874,0.12020982
PurchaseOrder,PO.POShipTo.attn,0.030769231,0.146474361,0.060563752,0.079269115
PurchaseOrder,PO.POShipTo.country,0.143150183,0.208379105,0.071822262,0.141117183
PurchaseOrder,PO.POShipTo.stateProvince,0.186538462,0.210714296,0.104628757,0.167293838
PurchaseOrder,PO.POShipTo.street1,0.143150183,0.208379105,0.063339831,0.138289706
PurchaseOrder,PO.POShipTo.street2,0.143150183,0.208379105,0.063339831,0.138289706
PurchaseOrder,PO.POShipTo.street3,0.143150183,0.208379105,0.063339831,0.138289706
PurchaseOrder,PO.POShipTo.street4,0.143150183,0.208379105,0.063339831,0.138289706
PurchaseOrder,PO.POShipTo.postalCode,0.228141026,0.260714293,0.060915434,0.183256918
PurchaseOrder,PO.POShipTo.entityidentifider,0.222237077,0.200097561,0.089725229,0.170686622
PurchaseOrder,PO.POBillTo,0.089519231,0.150769234,0.070639094,0.10364252
PurchaseOrder,PO.POBillTo.city,0.122435897,0.146474361,0.070885874,0.113265377
PurchaseOrder,PO.POBillTo.attn,0.030769231,0.125641033,0.060563752,0.072324672
PurchaseOrder,PO.POBillTo.country,0.143150183,0.187545776,0.071822262,0.13417274
PurchaseOrder,PO.POBillTo.stateProvince,0.186538462,0.192857146,0.104628757,0.161341455
PurchaseOrder,PO.POBillTo.street1,0.143150183,0.187545776,0.063339831,0.131345263
PurchaseOrder,PO.POBillTo.street2,0.143150183,0.187545776,0.063339831,0.131345263
PurchaseOrder,PO.POBillTo.street3,0.143150183,0.187545776,0.063339831,0.131345263
PurchaseOrder,PO.POBillTo.street4,0.143150183,0.187545776,0.063339831,0.131345263
PurchaseOrder,PO.POBillTo.postalCode,0.228141026,0.242857143,0.060915434,0.177304534
PurchaseOrder,PO.POBillTo.entityidentifider,0.222237077,0.179264203,0.089725229,0.16374217
PurchaseOrder,PO.POLines,0.136185897,0.188461542,0.07007516,0.1315742
PurchaseOrder,PO.POLines.startAt,0.077435897,0.16730769,0.088430435,0.111058007
PurchaseOrder,PO.POLines.count,0.124102564,0.17576924,0.070019817,0.123297207
PurchaseOrder,PO.POLines.Item,0.127435897,0.190769225,0.065537063,0.127914062
PurchaseOrder,PO.POLines.Item.uom,0.132991453,0.179807708,0,0.104266387
PurchaseOrder,PO.POLines.Item.unitPrice,0.333313333,0.239285707,0.083569131,0.218722724
